date,day,tithi,time,nakshatra,additional_info,paksha,temple_festivals,temple_monthly_poojas,balavihar_events,festivals
7/15/2025,Tuesday,Panchami,12:09:18,P.Bhadrapada,19:16:16,Krishna ,,,,
7/16/2025,Wednesday,Shashthi,10:32:08,U.Bhadrapada,18:20:12,Krishna ,,,,
7/17/2025,Thursday,Saptami,8:39:19,Revati,17:08:51,Krishna ,,,,
7/18/2025,Friday,Ashtami,6:32:03,Ashvini,15:43:42,Krishna ,,,,
7/19/2025,Saturday,Dashami,25:43:14+,Bharani,14:07:13,Krishna ,,,,
7/20/2025,Sunday,Ekadashi,23:09:09,Krittika,12:23:09,Krishna ,,,,
7/21/2025,Monday,Dvadashi,20:35:47,Rohini,10:36:46,Krishna ,,Pradosha Shiva Puja,,
7/22/2025,Tuesday,Trayodashi,18:09:52,Mrigashirsha,8:54:36,Krishna ,,,,
7/23/2025,Wednesday,Chaturdashi,15:58:59,Aardra,7:24:10,Krishna ,,,,
7/24/2025,Thursday,Amavasya,14:10:55,Pushya,29:30:27+,Krishna ,,,,
7/25/2025,Friday,Prathama,12:53:11,Aslesha,29:21:56+,Shukla ,,MahaLakshmi Abhishekam,,
7/26/2025,Saturday,Dvitiiya,12:12:10,Magha,29:52:53+,Shukla ,,,,
7/27/2025,Sunday,Tritiiya,12:12:13,P.Phalguni,full night,Shukla ,,,,
7/28/2025,Monday,Chaturthi,12:54:38,P.Phalguni,7:05:18,Shukla ,,,,
7/29/2025,Tuesday,Panchami,14:16:49,U.Phalguni,8:57:20,Shukla ,,,,Naga Panchami
7/30/2025,Wednesday,Shashthi,16:11:49,Hasta,11:22:49,Shukla ,,,,
7/31/2025,Thursday,Saptami,18:28:39,Chitra,14:11:30,Shukla ,,,,
8/1/2025,Friday,Ashtami,20:53:39,Svaati,17:10:13,Shukla ,,,,
8/2/2025,Saturday,Navami,23:12:23,Vishaakha,20:04:48,Shukla ,,,,
8/3/2025,Sunday,Dashami,25:11:56+,Anuraadha,22:42:18,Shukla ,,,,
8/4/2025,Monday,Ekadashi,26:42:36+,Jyeshtha,24:52:39+,Shukla ,,Chinmaya Shripati Abhishekam,,
8/5/2025,Tuesday,Dvadashi,27:38:36+,Mula,26:29:39+,Shukla ,,,,
8/6/2025,Wednesday,Trayodashi,27:58:05+,P.shadha,27:31:03+,Shukla ,,,,
8/7/2025,Thursday,Chaturdashi,27:42:19+,U.shada,27:57:51+,Shukla ,,,,
